id,code,name
1,aa,Afar
2,ab,Abkhazian
3,af,Afrikaans
4,am,Amharic
5,ar,Arabic
6,as,Assamese
7,ay,Aymara
8,az,Azerbaijani
9,ba,Bashkir
10,be,Byelorussian
11,bg,Bulgarian
12,bh,Bihari
13,bi,Bislama
14,bn,Bengali; Bangla
15,bo,Tibetan
16,br,Breton
17,ca,Catalan
18,co,Corsican
19,cs,Czech
20,cy,Welsh
21,da,Danish
22,de,German
23,dz,Bhutani
24,el,Greek
25,en,English
26,eo,Esperanto
27,es,Spanish
28,et,Estonian
29,eu,Basque
30,fa,Persian
31,fi,Finnish
32,fj,Fiji
33,fo,Faeroese
34,fr,French
35,fy,Frisian
36,ga,Irish
37,gd,Scots Gaelic
38,gl,Galician
39,gn,Guarani
40,gu,Gujarati
41,ha,Hausa
42,hi,Hindi
43,hr,Croatian
44,hu,Hungarian
45,hy,Armenian
46,ia,Interlingua
47,ie,Interlingue
48,ik,Inupiak
49,in,Indonesian
50,is,Icelandic
51,it,Italian
52,iw,Hebrew
53,ja,Japanese
54,ji,Yiddish
55,jw,Javanese
56,ka,Georgian
57,kk,Kazakh
58,kl,Greenlandic
59,km,Cambodian
60,kn,Kannada
61,ko,Korean
62,ks,Kashmiri
63,ku,Kurdish
64,ky,Kirghiz
65,la,Latin
66,ln,Lingala
67,lo,Laothian
68,lt,Lithuanian
69,lv,Latvian Lettish
70,mg,Malagasy
71,mi,Maori
72,mk,Macedonian
73,ml,Malayalam
74,mn,Mongolian
75,mo,Moldavian
76,mr,Marathi
77,ms,Malay
78,mt,Maltese
79,my,Burmese
80,na,Nauru
81,ne,Nepali
82,nl,Dutch
83,no,Norwegian
84,oc,Occitan
85,om,Oromo (Afan)
86,or,Oriya
87,pa,Punjabi
88,pl,Polish
89,ps,Pashto Pushto
90,pt,Portuguese
91,qu,Quechua
92,rm,Rhaeto-Romance
93,rn,Kirundi
94,ro,Romanian
95,ru,Russian
96,rw,Kinyarwanda
97,sa,Sanskrit
98,sd,Sindhi
99,sg,Sangro
100,sh,Serbo-Croatian
101,si,Singhalese
102,sk,Slovak
103,sl,Slovenian
104,sm,Samoan
105,sn,Shona
106,so,Somali
107,sq,Albanian
108,sr,Serbian
109,ss,Siswati
110,st,Sesotho
111,su,Sundanese
112,sv,Swedish
113,sw,Swahili
114,ta,Tamil
115,te,Telugu
116,tg,Tajik
117,th,Thai
118,ti,Tigrinya
119,tk,Turkmen
120,tl,Tagalog
121,tn,Setswana
122,to,Tonga
123,tr,Turkish
124,ts,Tsonga
125,tt,Tatar
126,tw,Twi
127,uk,Ukrainian
128,ur,Urdu
129,uz,Uzbek
130,vi,Vietnamese
131,vo,Volapuk
132,wo,Wolof
133,xh,Xhosa
134,yo,Yoruba
135,zh,Chinese
136,zu,Zulu
137,bs,Bosnian
138,se,Sami (Northern)
139,sma,Sami (Southern)
140,smj,Sami (Lule)
141,smn,Sami (Inari)
142,sms,Sami (Skolt)
143,smi,Sami languages
144,zxx,(no linguistic content)
145,fil,Filipino; Pilipino
146,und,(undetermined)
147,chr,Cherokee
148,nds,Low German
149,rcf,R̩union Creole French
150,mfe,Morisyen (Mauritian Creole)
151,fkv,Kven
152,pap,Papiamentu
